Texto del tweet,Usuario,Fecha,id
"RT @WHO: Working from home with your children around?
Your kids are bored and want to play outside but they can't?

NOT EASY for any of us!…",sukmardyh,Sat Apr 11 15:08:40 +0000 2020,https://twitter.com/WHO/status/1248991361518284803
"RT @WHO: Working from home with your children around?
Your kids are bored and want to play outside but they can't?

NOT EASY for any of us!…",alialzanaty1,Sat Apr 11 15:09:14 +0000 2020,https://twitter.com/WHO/status/1248991504544280586
@WHO My message from #Libya to all people of the world #StayHome   Happy weekend and take care! https://t.co/H0v3U2yhoQ,alialzanaty1,Sat Apr 11 15:09:17 +0000 2020,https://twitter.com/WHO/status/1248991515172618240
"RT @WHO: Working from home with your children around?
Your kids are bored and want to play outside but they can't?

NOT EASY for any of us!…",AranzNataly,Sat Apr 11 15:09:30 +0000 2020,https://twitter.com/WHO/status/1248991573334949889
@WHO https://t.co/7VyaMosD0y,jinruiliang,Sat Apr 11 15:09:31 +0000 2020,https://twitter.com/WHO/status/1248991577743253505
"RT @DrTedros: Thank you for the productive discussion, @JuttaUrpilainen, @EU_Commission-er for International Partnerships. @WHO appreciates…",alialzanaty1,Sat Apr 11 15:09:42 +0000 2020,https://twitter.com/WHO/status/1248991620554543104
"RT @UN: Many children need extra support to cope with the changes brought on by #COVID19.

A new storybook produced in collaboration with 5…",PEARLSPetCare,Sat Apr 11 15:09:42 +0000 2020,https://twitter.com/WHO/status/1248991621330452481
"RT @DrTedros: Thank you for the productive discussion, @JuttaUrpilainen, @EU_Commission-er for International Partnerships. @WHO appreciates…",pralhadnasane10,Sat Apr 11 15:10:01 +0000 2020,https://twitter.com/WHO/status/1248991700296413187
"RT @DrTedros: Just as health is not just the absence of disease, public health is not the absence of outbreaks. This is why we need univers…",pralhadnasane10,Sat Apr 11 15:10:03 +0000 2020,https://twitter.com/WHO/status/1248991708404047873
"RT @WHO: Praise is powerful.

Try praising your child or teenager for something they have done well.
Do it in a genuine way. 

They may not…",RuedGestures,Sat Apr 11 15:10:03 +0000 2020,https://twitter.com/WHO/status/1248991711835160577
"RT @WHO: Read a book with your children.

This new book of Sara and Ario's adventure can help under-12s understand and come to terms with #…",AmetameMcDave,Sat Apr 11 22:37:34 +0000 2020,https://twitter.com/WHO/status/1249104330222944256
@WHO This is to funny! 😂😂🤣,FikerIso,Sat Apr 11 22:37:20 +0000 2020,https://twitter.com/WHO/status/1249104272215736321
RT @WHO: #SupportNursesAndMidwives: They are critical health workers. Investment in their education and training is vital to ensuring #Heal…,ijeomaMD,Sat Apr 11 22:39:07 +0000 2020,https://twitter.com/WHO/status/1249104721429893120
"RT @WHO: Did You Know❓
☑ 1 in 8 #nurses works in a country other than where they were born or trained
☑ &gt;80% of the world’s nurses work in…",heyitsmar_ugh,Sat Apr 11 22:40:00 +0000 2020,https://twitter.com/WHO/status/1249104945078509573
@WHO @jam_kamal,amir_baloch96,Sat Apr 11 22:36:53 +0000 2020,https://twitter.com/WHO/status/1249104159812603909
"RT @DrTedros: ""May the living flame of the Easter hope be a steady guide as we face the future” - Strong message of hope by HM The Queen, @…",SapphJack,Sat Apr 11 22:41:20 +0000 2020,https://twitter.com/WHO/status/1249105277535817734
RT @WHO: Preliminary investigations conducted by the Chinese authorities have found no clear evidence of human-to-human transmission of the…,FRSandro,Sat Apr 11 22:41:34 +0000 2020,https://twitter.com/WHO/status/1249105338919346176
"RT @WHO: #COVID19 underscores the critical (and often unmet) need for protective equipment for nurses/midwives, which enables them to safel…",heyitsmar_ugh,Sat Apr 11 22:42:00 +0000 2020,https://twitter.com/WHO/status/1249105446620868611
@WHO Por siempre la peste Wuhan,camanriquej,Sat Apr 11 22:41:59 +0000 2020,https://twitter.com/WHO/status/1249105444586455041
@WHO @WHO_Europe @DrTedros #alcoholawareness Avoid Alcohol consumption!,fscarfe,Sat Apr 11 22:42:56 +0000 2020,https://twitter.com/WHO/status/1249105681560424449
