Tweets,ID,Date,Source,Likes,RTs
"RT @FundacionLuksic: Como familia Luksic estamos 100% comprometidos con Chile. Por eso, pondremos a disposición del @colmedchile  1 millón…",https://twitter.com/colmedchile/status/1251525504764653573,2020-04-18 14:58:27,Twitter for iPhone,0,693
RT @Colmedchillan: Evitar la propagación del #COVID2019 necesita la responsabilidad y compromiso de cada uno de nosotros. Organiza tu jorna…,https://twitter.com/colmedchile/status/1251521306421592064,2020-04-18 14:41:46,Twitter for iPhone,0,11
[#LicenciasMédicas] Compartimos el siguiente manual elaborado junto a la @esp_uchile que busca orientar a l@s médic… https://t.co/IQprPBF0oA,https://twitter.com/colmedchile/status/1251505894438961153,2020-04-18 13:40:31,SocialGest,13,11
Junto a la @uchile hemos desarrollado un formulario sobre síntomas y prácticas vinculadas al #COVID19 para contar c… https://t.co/9X5O170nts,https://twitter.com/colmedchile/status/1251478242889998342,2020-04-18 11:50:39,SocialGest,25,47
"Dra. Siches: ""Es necesario que la ciudadanía entienda que estas medidas tienen impacto. Es necesario empezar a ver… https://t.co/D4zU28dfIr",https://twitter.com/colmedchile/status/1251322155779964934,2020-04-18 01:30:25,Twitter Web App,23,13
"Dra. Siches: ""No pedir permisos para cosas que no se requieren, hacer trámites online, si se puede, y mantener el c… https://t.co/Ksi1MfTdiE",https://twitter.com/colmedchile/status/1251321585153331201,2020-04-18 01:28:08,Twitter Web App,21,18
"Dra. Siches: ""Quiero hacer un llamado a los ciudadanos de la región a evitar los traslados. Todos tenemos que actua… https://t.co/uQA6WaDsO1",https://twitter.com/colmedchile/status/1251321266965020682,2020-04-18 01:26:53,Twitter Web App,9,7
"Dra. Siches: ""Los datos son fundamentales para que la comunidad científica pueda aportar y alertar en caso que algu… https://t.co/TXp9Uir7TN",https://twitter.com/colmedchile/status/1251317332703539206,2020-04-18 01:11:15,Twitter Web App,12,7
"Dra. Siches: ""En el enfrentamiento de una pandemia es fundamental la confianza de la ciudadanía y para ello es fund… https://t.co/LmKLpj7ObW",https://twitter.com/colmedchile/status/1251317159579525121,2020-04-18 01:10:33,Twitter Web App,9,5
"Dra. Siches: ""La estrategia del Gobierno no podemos decir que es errada, la han implementado otros países. El probl… https://t.co/Yiom8ZGgcj",https://twitter.com/colmedchile/status/1251316613204377603,2020-04-18 01:08:23,Twitter Web App,7,6
